id,name,fling_power,fling_effect_id,effect
445,secret-key,,,"Used by trainer in the Galactic Eterna Building, on the ground floor, to the left of the TV
:   Unlocks the secret []{pokemon:rotom} room, in which there are five appliances which can change Rotom's form."
446,apricorn-box,,,Stores Apricorns.
447,berry-pots,,,Contains four portable pots of soil suitable for growing berries.
448,squirt-bottle,,,"Required to water berries within the []{item:berry-pots}.

Required to battle the []{pokemon:sudowoodo} on []{location:johto-route-36}.

This item cannot be directly used from the bag."
449,lure-ball,,,"Used by trainer in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the wild Pokémon was encountered by fishing, the wild Pokémon's catch rate is 3× normal."
450,level-ball,,,"Used by trainer in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the trainer's Pokémon's level is higher than:

    * four times the wild Pokémon's, the wild Pokémon's catch rate is 8× normal.
    * than twice the wild Pokémon's, the wild Pokémon's catch rate is 4× normal.
    * the wild Pokémon's, the wild Pokémon's catch rate is 2× normal."
451,moon-ball,,,"Used by trainer in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the wild Pokémon is a []{pokemon:clefairy}, []{pokemon:nidoran-m}, []{pokemon:nidoran-f}, []{pokemon:jigglypuff}, []{pokemon:skitty}, or any evolution thereof, the wild Pokémon has 4× its catch rate."
452,heavy-ball,,,"Used by a trainer in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the wild Pokémon weighs:

    * 409.6 kg (903.0 lb) or more, its catch rate is 40 more than normal.
    * 307.2 kg (677.3 lb) or more, its catch rate is 30 more than normal.
    * 204.8 kg (451.5 lb) or more, its catch rate is 20 more than normal.
    * less than 204.8 kg (451.5 lb), its catch rate is 20 less than normal."
453,fast-ball,,,"Used by a trainer in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

:   If the wild Pokémon's base [speed]{mechanic:speed} is 100 or more, its catch rate is 4× normal."
454,friend-ball,,,"Used by a trainer in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If caught, the wild Pokémon's [happiness]{mechanic:happiness} starts at 200."
455,love-ball,,,"Used by a trainer in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the trainer's Pokémon and wild Pokémon are of the same species but opposite genders, the wild Pokémon's catch rate is 8× normal."
456,park-ball,,,"Used by a trainer in battle
:   [Catches]{mechanic:catch} a wild Pokémon.

This item can only be used in []{location:pal-park}."
457,sport-ball,,,"Used by a trainer in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.

    The wild Pokémon's catch rate is 1.5× normal."
458,red-apricorn,10,,May be given to Kurt in []{location:azalea-town} to produce a []{item:level-ball}.
459,blue-apricorn,10,,May be given to Kurt in []{location:azalea-town} to produce a []{item:lure-ball}.
460,yellow-apricorn,10,,May be given to Kurt in []{location:azalea-town} to produce a []{item:moon-ball}.
461,green-apricorn,10,,May be given to Kurt in []{location:azalea-town} to produce a []{item:friend-ball}.
462,pink-apricorn,10,,May be given to Kurt in []{location:azalea-town} to produce a []{item:love-ball}.
463,white-apricorn,10,,May be given to Kurt in []{location:azalea-town} to produce a []{item:fast-ball}.
464,black-apricorn,10,,May be given to Kurt in []{location:azalea-town} to produce a []{item:heavy-ball}.
465,dowsing-machine,,,"Used by trainer outside of battle
:   Searches for hidden items."
466,rage-candy-bar,30,,May be traded for a []{item:tm64} in the vertical Underground Path.
467,red-orb,,,Causes []{pokemon:groudon} to appear in the []{location:embedded-tower}.
468,blue-orb,,,Causes []{pokemon:kyogre} to appear in the []{location:embedded-tower}.
469,jade-orb,,,Causes []{pokemon:rayquaza} to appear in the []{location:embedded-tower}.
470,enigma-stone,,,"When taken to the []{location:pewter-city} museum, causes []{pokemon:latias} or []{pokemon:latios} to attack the trainer.

The Pokémon to appear will be whicher can't be encountered roaming in the wild."
471,unown-report,,,Lists which []{pokemon:unown} forms the trainer has caught.
472,blue-card,,,Allows the trainer to answer the daily question on Buena's radio show.  Records the points earned for correct answers.
473,slowpoke-tail,,,Does nothing.
474,clear-bell,,,May be given to the Kimono Girls to summon []{pokemon:ho-oh} to the top of the []{location:bell-tower}.
475,card-key,,,"Used by trainer outside of battle
:   Opens doors in the []{location:goldenrod-city} Radio Tower."
476,basement-key,,,"Used by trainer outside of battle
:   Opens the door to the basement tunnel under []{location:goldenrod-city}."
477,red-scale,,,May be traded to Mr. Pokémon for an []{item:exp-share}.
478,lost-item,,,May be traded to the Copycat for a []{item:pass}.
479,pass,,,Allows the trainer to ride the Magnet Train between []{location:goldenrod-city} and []{location:saffron-city}.
480,machine-part,,,Must be replaced in the []{location:power-plant} to power the Magnet Train.
481,silver-wing,,,Causes []{pokemon:lugia} to appear in the []{location:whirl-islands}.
482,rainbow-wing,,,Causes []{pokemon:ho-oh} to appear at the top of []{location:bell-tower}.
483,mystery-egg,,,"Must be obtained to trigger the break-in at Professor Elm's lab, the first rival battle, and access to []{location:johto-route-31}."
484,gb-sounds,,,"Used by trainer outside of battle
:   Changes the background music to the equivalent 8-bit music."
485,tidal-bell,,,May be given to the Kimono Girls to summon []{pokemon:lugia} to the top of the []{location:bell-tower}.
486,data-card-01,,,Records the number of times the trainer has come in first place overall in the Pokéathlon.
487,data-card-02,,,Records the number of times the trainer has come in last place overall in the Pokéathlon.
488,data-card-03,,,Records the number of times the trainer's Pokémon have dashed in the Pokéathlon.
489,data-card-04,,,Records the number of times the trainer's Pokémon have jumped in the Pokéathlon.
490,data-card-05,,,Records the number of times the trainer has come in first in the Pokéathlon Hurdle Dash.
491,data-card-06,,,Records the number of times the trainer has come in first in the Pokéathlon Relay Run.
492,data-card-07,,,Records the number of times the trainer has come in first in the Pokéathlon Pennant Capture.
493,data-card-08,,,Records the number of times the trainer has come in first in the Pokéathlon Block Smash.
494,data-card-09,,,Records the number of times the trainer has come in first in the Pokéathlon Disc Catch.
495,data-card-10,,,Records the number of times the trainer has come in first in the Pokéathlon Snow Throw.
496,data-card-11,,,Records the number of points the trainer has earned in the Pokéathlon.
497,data-card-12,,,Records the number of times the trainer's Pokémon have messed up in the Pokéathlon.
498,data-card-13,,,Records the number of times the trainer's Pokémon have defeated themselves in the Pokéathlon.
499,data-card-14,,,Records the number of times the trainer's Pokémon have tackled in the Pokéathlon.
500,data-card-15,,,Records the number of times the trainer's Pokémon have fallen in the Pokéathlon.
501,data-card-16,,,Records the number of times the trainer has come in first in the Pokéathlon Ring Drop.
502,data-card-17,,,Records the number of times the trainer has come in first in the Pokéathlon Lamp Jump.
503,data-card-18,,,Records the number of times the trainer has come in first in the Pokéathlon Circle Push.
504,data-card-19,,,Records the number of times the trainer has come in first place overall in the Pokéathlon over wirelss.
505,data-card-20,,,Records the number of times the trainer has come in last place overall in the Pokéathlon over wireless.
506,data-card-21,,,Records the number of times the trainer has come in first across all Pokéathlon events.
507,data-card-22,,,Records the number of times the trainer has come in last across all Pokéathlon events.
508,data-card-23,,,Records the number of times the trainer has switched Pokémon in the Pokéathlon.
509,data-card-24,,,Records the number of times the trainer has come in first in the Pokéathlon Goal Roll.
510,data-card-25,,,Records the number of times the trainer's Pokémon received prizes in the Pokéathlon.
511,data-card-26,,,Records the number of times the trainer has instructed Pokémon in the Pokéathlon.
512,data-card-27,,,Records the total time spent in the Pokéathlon.
513,lock-capsule,,,Does nothing.
514,photo-album,,,Does nothing.
515,orange-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
516,harbor-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
517,glitter-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
518,mech-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
519,wood-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
520,wave-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
521,bead-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
522,shadow-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
523,tropic-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
524,dream-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
525,fab-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
526,retro-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
527,mach-bike,,,Increases movement speed outside or in caves.  Faster than the []{item:acro-bike}.  Allows the trainer to ascend muddy slopes.
528,acro-bike,,,"Increases movement speed outside or in caves.  Slower than the []{item:mach-bike}.  Can perform various tricks, allowing the trainer to reach certain special areas."
529,wailmer-pail,,,Waters Berry plants.
530,devon-goods,,,Contains a machine part to be delivered to Captain Stern.
531,soot-sack,,,Collects soot when walking through tall grass on []{location:hoenn-route-113}.
532,pokeblock-case,,,Stores Pokéblocks.
533,letter,,,Contains a letter to be delivered to Steven.
534,eon-ticket,,,"Provides access to []{location:southern-island} and either []{pokemon:latias} or []{pokemon:latios}, whichever is not available roaming around Hoenn."
535,scanner,,,May be traded to Captain Stern for a []{item:deep-sea-tooth} or a []{item:deep-sea-scale}.
536,go-goggles,,,Allows the trainer to enter the desert on []{location:hoenn-route-111}.
537,meteorite,,,"RSE: May be traded to Professor Cozmo for []{item:tm27}.

FRLG: A meteorite to be delivered to Lostelle's father."
538,rm-1-key,,,Unlocks room 1 on the []{location:abandoned-ship}.
539,rm-2-key,,,Unlocks room 2 on the []{location:abandoned-ship}.
540,rm-4-key,,,Unlocks room 4 on the []{location:abandoned-ship}.
541,rm-6-key,,,Unlocks room 6 on the []{location:abandoned-ship}.
542,devon-scope,,,Reveals invisble []{pokemon:kecleon} on the overworld.
543,oaks-parcel,,,A parcel to be delivered to Professor Oak for a Pokédex.
544,poke-flute,,,Wakes up [sleeping]{mechanic:sleep} Pokémon.  Required to wake up sleeping []{pokemon:snorlax} on the overworld.
545,bike-voucher,,,May be traded for a []{item:bicycle}.
546,gold-teeth,,,"The Safari Zone warden's teeth, to be returned to him for []{item:hm04}."
547,lift-key,,,Operates the elevator in the Celadon Rocket Hideout.
548,silph-scope,,,Identifies ghosts in []{location:pokemon-tower}.
549,fame-checker,,,Records information on various famous people.
550,tm-case,,,Stores TMs and HMs.
551,berry-pouch,,,Stores Berries.
552,teachy-tv,,,Teaches beginning trainers basic information.
553,tri-pass,,,Provides access to the first three Sevii Islands.
554,rainbow-pass,,,Provides access to the Sevii Islands.
555,tea,,,Used to bribe the []{location:saffron-city} guards for entry to the city.
556,mysticticket,,,"Provides access to Navel Rock, []{pokemon:ho-oh}, and []{pokemon:lugia}."
557,auroraticket,,,Provides access to Birth Island and []{pokemon:deoxys}.
558,powder-jar,,,Holds Berry Powder from Berry Crushing.
559,ruby,,,Deliver to Celio for use in the Network Machine.
560,sapphire,,,Deliver to Celio for use in the Network Machine.
561,magma-emblem,,,Provides access to the []{location:magma-hideout} in the []{location:jagged-pass}.
562,old-sea-map,,,Provides access to Faraway Island and []{pokemon:mew}.
563,douse-drive,70,,"Held by []{pokemon:genesect}
:   Holder's buster is blue, and its []{move:techno-blast} is []{type:water}-type."
564,shock-drive,70,,"Held by []{pokemon:genesect}
:   Holder's buster is yellow, and its []{move:techno-blast} is []{type:electric}-type."
565,burn-drive,70,,"Held by []{pokemon:genesect}
:   Holder's buster is red, and its []{move:techno-blast} is []{type:fire}-type."
566,chill-drive,70,,"Held by []{pokemon:genesect}
:   Holder's buster is white, and its []{move:techno-blast} becomes []{type:ice}-type."
567,sweet-heart,30,,"Used on a friendly Pokémon
:   Restores 20 [HP]{mechanic:hp}."
568,greet-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
569,favored-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
570,rsvp-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
571,thanks-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
572,inquiry-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
573,like-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
574,reply-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
575,bridge-mail-s,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
576,bridge-mail-d,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
577,bridge-mail-t,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
578,bridge-mail-v,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
579,bridge-mail-m,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
580,prism-scale,30,,"Held by []{pokemon:feebas}
:   Holder evolves into []{pokemon:milotic} when traded."
581,eviolite,40,,"Held by a Pokémon that is not fully evolved
:   Holder has 1.5× [Defense]{mechanic:defense} and [Special Defense]{mechanic:special-defense}."
582,float-stone,30,,"Held
:   Holder has 0.5× weight."
583,rocky-helmet,60,,"Held
:   When the holder is hit by a [contact]{mechanic:contact} move, the attacking Pokémon takes 1/6 its max [HP]{mechanic:hp} in damage."
584,air-balloon,10,,"Held
:   Holder is immune to []{type:ground}-type moves, []{move:spikes}, []{move:toxic-spikes}, and []{ability:arena-trap}.

    This effect does not apply during []{move:gravity} or []{move:ingrain}.

    When the holder takes damage from a move, this item is consumed."
585,red-card,10,,"Held
:   When the holder takes damage directly from a move and does not faint, it [switches out]{mechanic:switching-out} for another random, non-fainted Pokémon in its party.
This effect does not activate if another effect prevents the holder from switching out."
586,ring-target,10,,"Held
:   When one of the user's types would render it immune to damage, that type is ignored for damage calculation."
587,binding-band,30,,"Held
:   Moves used by the holder that trap and damage a target for multiple turns (e.g. []{move:bind}, []{move:fire-spin}) inflict twice their usual per-turn damage."
588,absorb-bulb,30,,"Held
:   When the holder takes []{type:water}-type damage from a move, its [Special Attack]{mechanic:special-attack} rises by one [stage]{mechanic:stage} and this item is consumed."
589,cell-battery,30,,"Held
:   When the holder takes []{type:electric}-type damage from a move, its [Attack]{mechanic:attack} rises by one [stage]{mechanic:stage} and this item is consumed."
590,eject-button,30,,"Held
:   When the holder takes damage directly from a move and does not faint, it [switches out]{mechanic:switching-out} for another non-fainted Pokémon in its party, as chosen by the Trainer.
This effect does not activate if another effect prevents the holder from switching out."
591,fire-gem,,,"Held
:   When the holder uses a damaging []{type:fire}-type move, the move has 1.5× power and this item is consumed."
592,water-gem,,,"Held
:   When the holder uses a damaging []{type:water}-type move, the move has 1.5× power and this item is consumed."
593,electric-gem,,,"Held
:   When the holder uses a damaging []{type:electric}-type move, the move has 1.5× power and this item is consumed."
594,grass-gem,,,"Held
:   When the holder uses a damaging []{type:grass}-type move, the move has 1.5× power and this item is consumed."
595,ice-gem,,,"Held
:   When the holder uses a damaging []{type:ice}-type move, the move has 1.5× power and this item is consumed."
596,fighting-gem,,,"Held
:   When the holder uses a damaging []{type:fighting}-type move, the move has 1.5× power and this item is consumed."
597,poison-gem,,,"Held
:   When the holder uses a damaging []{type:poison}-type move, the move has 1.5× power and this item is consumed."
598,ground-gem,,,"Held
:   When the holder uses a damaging []{type:ground}-type move, the move has 1.5× power and this item is consumed."
599,flying-gem,,,"Held
:   When the holder uses a damaging []{type:flying}-type move, the move has 1.5× power and this item is consumed."
600,psychic-gem,,,"Held
:   When the holder uses a damaging []{type:psychic}-type move, the move has 1.5× power and this item is consumed."
601,bug-gem,,,"Held
:   When the holder uses a damaging []{type:bug}-type move, the move has 1.5× power and this item is consumed."
602,rock-gem,,,"Held
:   When the holder uses a damaging []{type:rock}-type move, the move has 1.5× power and this item is consumed."
603,ghost-gem,,,"Held
:   When the holder uses a damaging []{type:ghost}-type move, the move has 1.5× power and this item is consumed."
604,dark-gem,,,"Held
:   When the holder uses a damaging []{type:dark}-type move, the move has 1.5× power and this item is consumed."
605,steel-gem,,,"Held
:   When the holder uses a damaging []{type:steel}-type move, the move has 1.5× power and this item is consumed."
606,health-wing,20,,"Used on a party Pokémon
:   Increases the target's [HP]{mechanic:hp} [effort]{mechanic:effort} by 1."
607,muscle-wing,20,,"Used on a party Pokémon
:   Increases the target's [Attack]{mechanic:attack} [effort]{mechanic:effort} by 1."
608,resist-wing,20,,"Used on a party Pokémon
:   Increases the target's [Defense]{mechanic:defense} [effort]{mechanic:effort} by 1."
609,genius-wing,20,,"Used on a party Pokémon
:   Increases the target's [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 1."
610,clever-wing,20,,"Used on a party Pokémon
:   Increases the target's [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 1."
611,swift-wing,20,,"Used on a party Pokémon
:   Increases the target's [Speed]{mechanic:speed} [effort]{mechanic:effort} by 1."
612,pretty-wing,20,,Vendor trash.
613,cover-fossil,100,,Give to a scientist in a museum to receive a []{pokemon:tirtouga}.
614,plume-fossil,100,,Give to a scientist in a museum to receive a []{pokemon:archen}.
615,liberty-pass,,,"Allows passage on the []{location:castelia-city} ship, which leads to []{location:liberty-garden} and []{pokemon:victini}."
616,pass-orb,30,,Acts as currency to activate Pass Powers in the Entralink.
617,dream-ball,,,"Can only be used in Entree Forest, to catch Pokémon encountered in the Dream World.

Used in battle
:   [Catches]{mechanic:catch} a wild Pokémon without fail."
618,poke-toy,30,,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
619,prop-case,,,Stores props for the Pokémon Musical.
620,dragon-skull,,,Only used as a plot point; this item is given to the player and taken away in the same cutscene.
621,balm-mushroom,30,,Cult vendor trash.
622,big-nugget,130,,Cult vendor trash.
623,pearl-string,30,,Cult vendor trash.
624,comet-shard,30,,Cult vendor trash.
625,relic-copper,30,,Cult vendor trash.
626,relic-silver,30,,Cult vendor trash.
627,relic-gold,30,,Cult vendor trash.
628,relic-vase,30,,Cult vendor trash.
629,relic-band,30,,Cult vendor trash.
630,relic-statue,30,,Cult vendor trash.
631,relic-crown,30,,Cult vendor trash.
632,casteliacone,30,,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
633,dire-hit-2,,,"Used on a party Pokémon in battle
:   Raises the target's [critical hit]{mechanic:critical-hit} rate by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
634,x-speed-2,,,"Used on a party Pokémon in battle
:   Raises the target's [Speed]{mechanic:speed} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
635,x-sp-atk-2,,,"Used on a party Pokémon in battle
:   Raises the target's [Special Attack]{mechanic:special-attack} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
636,x-sp-def-2,,,"Used on a party Pokémon in battle
:   Raises the target's [Special Defense]{mechanic:special-defense} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
637,x-defense-2,,,"Used on a party Pokémon in battle
:   Raises the target's [Defense]{mechanic:defense} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
638,x-attack-2,,,"Used on a party Pokémon in battle
:   Raises the target's [Attack]{mechanic:attack} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
639,x-accuracy-2,,,"Used on a party Pokémon in battle
:   Raises the target's [accuracy]{mechanic:accuracy} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
640,x-speed-3,,,"Used on a party Pokémon in battle
:   Raises the target's [Speed]{mechanic:speed} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
641,x-sp-atk-3,,,"Used on a party Pokémon in battle
:   Raises the target's [Special Attack]{mechanic:special-attack} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
642,x-sp-def-3,,,"Used on a party Pokémon in battle
:   Raises the target's [Special Defense]{mechanic:special-defense} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
643,x-defense-3,,,"Used on a party Pokémon in battle
:   Raises the target's [Defense]{mechanic:defense} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
644,x-attack-3,,,"Used on a party Pokémon in battle
:   Raises the target's [Attack]{mechanic:attack} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
645,x-accuracy-3,,,"Used on a party Pokémon in battle
:   Raises the target's [accuracy]{mechanic:accuracy} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
646,x-speed-6,,,"Used on a party Pokémon in battle
:   Raises the target's [Speed]{mechanic:speed} by six [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
647,x-sp-atk-6,,,"Used on a party Pokémon in battle
:   Raises the target's [Special Attack]{mechanic:special-attack} by six [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
648,x-sp-def-6,,,"Used on a party Pokémon in battle
:   Raises the target's [Special Defense]{mechanic:special-defense} by six [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
649,x-defense-6,,,"Used on a party Pokémon in battle
:   Raises the target's [Defense]{mechanic:defense} by six [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
650,x-attack-6,,,"Used on a party Pokémon in battle
:   Raises the target's [Attack]{mechanic:attack} by six [stages]{mechanic:stage}.

This item can only be obtained or used via the Wonder Launcher."
651,x-accuracy-6,,,"Used on a party Pokémon in battle
:   Raises the target's [accuracy]{mechanic:accuracy} by six [stages]{mechanic:stage}.

This item can only be obtained or used via the Wonder Launcher."
652,ability-urge,,,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  If that Pokémon's ability is normally activated by some condition—i.e., is not continuous and passive—its effect is forcibly activated.

This item can only be obtained or used via the Wonder Launcher."
653,item-drop,,,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  If that Pokémon is holding an item, that item is removed for the duration of the battle.

This item can only be obtained or used via the Wonder Launcher."
654,item-urge,,,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  If that Pokémon is holding an item normally activated by some condition—i.e., not continuous and passive—its effect is forcibly activated.

This item can only be obtained or used via the Wonder Launcher."
655,reset-urge,,,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  Removes all of that Pokémon's stat changes.

This item can only be obtained or used via the Wonder Launcher."
656,dire-hit-3,,,"Used on a party Pokémon in battle
:   Raises the target's [critical hit]{mechanic:critical-hit} rate by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
657,light-stone,,,Summons []{pokemon:reshiram} for the final battle against N.
658,dark-stone,,,Summons []{pokemon:zekrom} for the final battle against N.
659,tm93,,,Teaches []{move:wild-charge} to a compatible Pokémon.
660,tm94,,,Teaches []{move:rock-smash} to a compatible Pokémon.
661,tm95,,,Teaches []{move:snarl} to a compatible Pokémon.
